she ain't cracking	she isn't cracking
they ain't cracking	they aren't cracking
he ain't cracking	he isn't cracking
she ain't loving	she isn't loving
they ain't loving	they aren't loving
he ain't loving	he isn't loving
she ain't acting	she isn't acting
they ain't acting	they aren't acting
he ain't acting	he isn't acting
she ain't blowing	she isn't blowing
they ain't blowing	they aren't blowing
he ain't blowing	he isn't blowing
she ain't f’ing	she isn't f’ing
they ain't f’ing	they aren't f’ing
he ain't f’ing	he isn't f’ing
