he be cracking	he's usually cracking
she be cracking	she's usually cracking
they be cracking	they're usually cracking
he be loving	he's usually loving
she be loving	she's usually loving
they be loving	they're usually loving
he be acting	he's usually acting
she be acting	she's usually acting
they be acting	they're usually acting
he be blowing	he's usually blowing
she be blowing	she's usually blowing
they be blowing	they're usually blowing
he be f’ing	he's usually f’ing
she be f’ing	she's usually f’ing
they be f’ing	they're usually f’ing
she ain't cracking	she isn't cracking
they ain't cracking	they aren't cracking
he ain't cracking	he isn't cracking
she ain't loving	she isn't loving
they ain't loving	they aren't loving
he ain't loving	he isn't loving
she ain't acting	she isn't acting
they ain't acting	they aren't acting
he ain't acting	he isn't acting
she ain't blowing	she isn't blowing
they ain't blowing	they aren't blowing
he ain't blowing	he isn't blowing
she ain't f’ing	she isn't f’ing
they ain't f’ing	they aren't f’ing
he ain't f’ing	he isn't f’ing
crackin	cracking
lovin	loving
actin	acting
blowin	blowing
f’in	f’ing
